,Bigram,Count,Frequency
0,За,2,0.0022148394241417496
1,ад,6,0.006644518272425249
2,ди,7,0.007751937984496124
3,ив,7,0.007751937984496124
4,вл,1,0.0011074197120708748
5,ля,2,0.0022148394241417496
6,яю,1,0.0011074197120708748
7,юс,3,0.0033222591362126247
8,сь,2,0.0022148394241417496
9,ь ,10,0.01107419712070875
10, у,1,0.0011074197120708748
11,у ,3,0.0033222591362126247
12, т,13,0.014396456256921373
13,тв,8,0.008859357696566999
14,во,11,0.012181616832779624
15,ої,2,0.0022148394241417496
16,ї ,2,0.0022148394241417496
17, з,10,0.01107419712070875
18,зі,3,0.0033222591362126247
19,ін,1,0.0011074197120708748
20,ни,5,0.005537098560354375
21,иц,2,0.0022148394241417496
22,ці,4,0.004429678848283499
23,"і
",10,0.01107419712070875
24,"
Г",2,0.0022148394241417496
25,Го,1,0.0011074197120708748
26,ол,5,0.005537098560354375
27,лу,2,0.0022148394241417496
28,уб,1,0.0011074197120708748
29,бі,5,0.005537098560354375
30,і ,11,0.012181616832779624
31, й,2,0.0022148394241417496
32,й ,9,0.009966777408637873
33,тр,1,0.0011074197120708748
34,ри,4,0.004429678848283499
35,ож,1,0.0011074197120708748
36,жн,1,0.0011074197120708748
37,ні,5,0.005537098560354375
38, н,13,0.014396456256921373
39,іб,1,0.0011074197120708748
40,би,3,0.0033222591362126247
41,и ,16,0.017718715393133997
42, р,5,0.005537098560354375
43,ра,7,0.007751937984496124
44,ан,3,0.0033222591362126247
45,нь,2,0.0022148394241417496
46,"ь
",2,0.0022148394241417496
47,"
К",2,0.0022148394241417496
48,Кр,1,0.0011074197120708748
49,ре,1,0.0011074197120708748
50,еш,1,0.0011074197120708748
51,шу,2,0.0022148394241417496
52,ут,4,0.004429678848283499
53,ть,9,0.009966777408637873
54,з ,6,0.006644518272425249
55,их,1,0.0011074197120708748
56,х ,3,0.0033222591362126247
57, ч,2,0.0022148394241417496
58,че,3,0.0033222591362126247
59,ер,3,0.0033222591362126247
60,рв,1,0.0011074197120708748
61,он,2,0.0022148394241417496
62, б,9,0.009966777408637873
63,бл,1,0.0011074197120708748
64,ли,6,0.006644518272425249
65,ис,3,0.0033222591362126247
66,ск,1,0.0011074197120708748
67,ка,4,0.004429678848283499
68,ав,4,0.004429678848283499
69,ви,2,0.0022148394241417496
70,"
Р",4,0.004429678848283499
71,Ре,1,0.0011074197120708748
72,ев,1,0.0011074197120708748
73,лю,4,0.004429678848283499
74,юц,1,0.0011074197120708748
75,ій,3,0.0033222591362126247
76,бу,3,0.0033222591362126247
77,ун,1,0.0011074197120708748
78,нт,1,0.0011074197120708748
79,ті,4,0.004429678848283499
80,ів,4,0.004429678848283499
81,в ,4,0.004429678848283499
82, і,4,0.004429678848283499
83, п,11,0.012181616832779624
84,по,4,0.004429678848283499
85,ов,7,0.007751937984496124
86,вс,4,0.004429678848283499
87,ст,1,0.0011074197120708748
88,та,3,0.0033222591362126247
89,"
У",2,0.0022148394241417496
90,Ук,2,0.0022148394241417496
91,кр,4,0.004429678848283499
92,аї,2,0.0022148394241417496
93,їн,2,0.0022148394241417496
94,но,4,0.004429678848283499
95,о ,7,0.007751937984496124
96, Т,1,0.0011074197120708748
97,Ти,2,0.0022148394241417496
98, д,6,0.006644518272425249
99,дл,2,0.0022148394241417496
100,я ,9,0.009966777408637873
101, м,9,0.009966777408637873
102,ме,3,0.0033222591362126247
103,ен,4,0.004429678848283499
104,не,8,0.008859357696566999
105,е ,15,0.016611295681063124
106,"о
",4,0.004429678848283499
107,"
І",1,0.0011074197120708748
108,І ,1,0.0011074197120708748
109,ех,1,0.0011074197120708748
110,ха,1,0.0011074197120708748
111,ай,5,0.005537098560354375
112,пл,1,0.0011074197120708748
113,ве,1,0.0011074197120708748
114,за,3,0.0033222591362126247
115,а ,12,0.013289036544850499
116,ро,6,0.006644518272425249
117,ок,2,0.0022148394241417496
118,ко,6,0.006644518272425249
119,ом,2,0.0022148394241417496
120,м ,2,0.0022148394241417496
121,рі,1,0.0011074197120708748
122,ік,3,0.0033222591362126247
123,"к
",4,0.004429678848283499
124,"
Б",3,0.0033222591362126247
125,Бу,1,0.0011074197120708748
126,уд,1,0.0011074197120708748
127,ду,4,0.004429678848283499
128,ма,4,0.004429678848283499
129,ам,3,0.0033222591362126247
130,мо,7,0.007751937984496124
131, г,3,0.0033222591362126247
132,го,3,0.0033222591362126247
133,ор,4,0.004429678848283499
134,рд,1,0.0011074197120708748
135,да,1,0.0011074197120708748
136, в,5,0.005537098560354375
137,вр,1,0.0011074197120708748
138,од,4,0.004429678848283499
139,ва,6,0.006644518272425249
140,"а
",5,0.005537098560354375
141,"
З",3,0.0033222591362126247
142,З ,2,0.0022148394241417496
143,те,7,0.007751937984496124
144,еб,5,0.005537098560354375
145,бе,6,0.006644518272425249
146,ву,2,0.0022148394241417496
147,ув,1,0.0011074197120708748
148,ат,4,0.004429678848283499
149,ти,4,0.004429678848283499
150,ся,4,0.004429678848283499
151,ві,7,0.007751937984496124
152,"
О",1,0.0011074197120708748
153,Од,1,0.0011074197120708748
154,ді,2,0.0022148394241417496
155,йд,2,0.0022148394241417496
156,іт,2,0.0022148394241417496
157,ед,1,0.0011074197120708748
158,др,2,0.0022148394241417496
159,ру,4,0.004429678848283499
160,уг,1,0.0011074197120708748
161,ги,1,0.0011074197120708748
162, л,3,0.0033222591362126247
163,ук,3,0.0033222591362126247
164,"
Д",2,0.0022148394241417496
165,Др,1,0.0011074197120708748
166,уз,2,0.0022148394241417496
167,ач,2,0.0022148394241417496
168,ек,1,0.0011074197120708748
169,йт,1,0.0011074197120708748
170,на,7,0.007751937984496124
171,пу,2,0.0022148394241417496
172,"
М",1,0.0011074197120708748
173,Ма,1,0.0011074197120708748
174,аю,2,0.0022148394241417496
175,ю ,5,0.005537098560354375
176, я,3,0.0033222591362126247
177, с,8,0.008859357696566999
178,св,3,0.0033222591362126247
179,вя,2,0.0022148394241417496
180,ят,1,0.0011074197120708748
181,си,2,0.0022148394241417496
182,ин,2,0.0022148394241417496
183,ьк,2,0.0022148394241417496
184,ке,1,0.0011074197120708748
185,пр,4,0.004429678848283499
186,ір,1,0.0011074197120708748
187,рю,4,0.004429678848283499
188,об,5,0.005537098560354375
189,са,2,0.0022148394241417496
190,от,2,0.0022148394241417496
191,Рі,1,0.0011074197120708748
192,ід,1,0.0011074197120708748
193,дк,1,0.0011074197120708748
194,зг,1,0.0011074197120708748
195,га,1,0.0011074197120708748
196,ую,1,0.0011074197120708748
197,ют,3,0.0033222591362126247
198,"е
",1,0.0011074197120708748
199,Дн,1,0.0011074197120708748
200,дт,1,0.0011074197120708748
201,то,3,0.0033222591362126247
202, к,3,0.0033222591362126247
203,ку,1,0.0011074197120708748
204,уц,1,0.0011074197120708748
205,ал,2,0.0022148394241417496
206,лі,2,0.0022148394241417496
207,"
Щ",1,0.0011074197120708748
208,Ще,1,0.0011074197120708748
209,сі,3,0.0033222591362126247
210,чо,1,0.0011074197120708748
211,рт,1,0.0011074197120708748
212, ж,3,0.0033222591362126247
213,жи,2,0.0022148394241417496
214,"
Х",4,0.004429678848283499
215,Хо,1,0.0011074197120708748
216,ит,6,0.006644518272425249
217, ї,2,0.0022148394241417496
218,їх,2,0.0022148394241417496
219,до,1,0.0011074197120708748
220,іс,1,0.0011074197120708748
221,зе,1,0.0011074197120708748
222,ем,1,0.0011074197120708748
223,мл,1,0.0011074197120708748
224,Ба,1,0.0011074197120708748
225,чи,1,0.0011074197120708748
226,иш,1,0.0011074197120708748
227,ш ,2,0.0022148394241417496
228,им,2,0.0022148394241417496
229,ми,2,0.0022148394241417496
230, щ,1,0.0011074197120708748
231,що,1,0.0011074197120708748
232,ог,1,0.0011074197120708748
233,бю,1,0.0011074197120708748
234,"я
",2,0.0022148394241417496
235,"
Ч",1,0.0011074197120708748
236,Чу,1,0.0011074197120708748
237,ує,1,0.0011074197120708748
238,єш,1,0.0011074197120708748
239, —,2,0.0022148394241417496
240,— ,2,0.0022148394241417496
241,сп,1,0.0011074197120708748
242,нв,1,0.0011074197120708748
243,іч,1,0.0011074197120708748
244,чн,1,0.0011074197120708748
245,ий,1,0.0011074197120708748
246,гр,1,0.0011074197120708748
247,юк,1,0.0011074197120708748
248,"
Я",2,0.0022148394241417496
249,Як,1,0.0011074197120708748
250,к ,1,0.0011074197120708748
251,же,1,0.0011074197120708748
252,ез,3,0.0033222591362126247
253, о,4,0.004429678848283499
254,ус,1,0.0011074197120708748
255,Бе,1,0.0011074197120708748
256,ло,1,0.0011074197120708748
257,оч,1,0.0011074197120708748
258,ей,1,0.0011074197120708748
259,оя,2,0.0022148394241417496
260,"
Т",1,0.0011074197120708748
261,оз,1,0.0011074197120708748
262,зп,1,0.0011074197120708748
263,Гр,1,0.0011074197120708748
264,д ,1,0.0011074197120708748
265,оє,2,0.0022148394241417496
266,є ,2,0.0022148394241417496
267,тт,1,0.0011074197120708748
268,тя,1,0.0011074197120708748
269,Ра,2,0.0022148394241417496
270,пе,2,0.0022148394241417496
271,рл,1,0.0011074197120708748
272,уш,1,0.0011074197120708748
273,ію,1,0.0011074197120708748
274,"ю
",3,0.0033222591362126247
275,сл,1,0.0011074197120708748
276,Ха,3,0.0033222591362126247
277,вч,1,0.0011074197120708748
278,ча,2,0.0022148394241417496
279, А,1,0.0011074197120708748
280,Ам,1,0.0011074197120708748
281,ик,1,0.0011074197120708748
282,ки,1,0.0011074197120708748
283, Р,1,0.0011074197120708748
284,Ро,1,0.0011074197120708748
285,ос,1,0.0011074197120708748
286,ії,1,0.0011074197120708748
287,"ї
",1,0.0011074197120708748
288,Ко,1,0.0011074197120708748
289,бо,1,0.0011074197120708748
290,ою,2,0.0022148394241417496
291,па,1,0.0011074197120708748
292,ла,1,0.0011074197120708748
293, х,1,0.0011074197120708748
294,хм,1,0.0011074197120708748
295,ар,1,0.0011074197120708748
296,ур,1,0.0011074197120708748
297,ря,1,0.0011074197120708748
298,як,1,0.0011074197120708748
299,ич,1,0.0011074197120708748
300,бр,1,0.0011074197120708748
301,аз,1,0.0011074197120708748
302,зи,1,0.0011074197120708748
303,се,1,0.0011074197120708748
304,дн,1,0.0011074197120708748
305,Я ,1,0.0011074197120708748
306,лл,1,0.0011074197120708748
307,ап,1,0.0011074197120708748
308,ел,1,0.0011074197120708748
309,ль,1,0.0011074197120708748
310,"
Н",1,0.0011074197120708748
311,На,1,0.0011074197120708748
312,ящ,1,0.0011074197120708748
313,ще,1,0.0011074197120708748
314,нн,1,0.0011074197120708748
315,зн,1,0.0011074197120708748
316,"
",1,0.0011074197120708748
